table_name,estimated_rows,total_table_bytes,table_comment
hvold2020,14005837,1601347584,Historical Volatility File 2020 (Updated 2025-11-13)
hvold2021,16497102,1886175232,Historical Volatility File 2021 (Updated 2025-11-13)
hvold2022,18877762,2158354432,Historical Volatility File 2022 (Updated 2025-11-13)
hvold2023,18967188,2168578048,
hvold2024,18622504,2129166336,Historical Volatility File 2024 (Updated 2025-11-13)
hvold2025,12143952,1388462080,Historical Volatility File 2025 (Updated 2025-11-13)
idxdvd,2709307,221806592,
indexd,80311,11313152,Index Information File (Updated 2025-11-13)
opinfd,13569,966656,Option Information File (Updated 2025-11-13)
opprcd1996,15765291,4468695040,Option Price File 1996 (Updated 2025-11-13)
opprcd1997,23094528,6547046400,Option Price File 1997 (Updated 2025-11-13)
opprcd1998,28072032,7949672448,Option Price File 1998 (Updated 2025-11-13)
opprcd1999,31507466,8942026752,Option Price File 1999 (Updated 2025-11-13)
opprcd2000,39359968,11177746432,Option Price File 2000 (Updated 2025-11-13)
opprcd2001,33902124,9608019968,Option Price File 2001 (Updated 2025-11-13)
opprcd2002,32558396,9201328128,Option Price File 2002 (Updated 2025-11-13)
opprcd2003,30798284,8717852672,Option Price File 2003 (Updated 2025-11-13)
opprcd2004,36885280,10433150976,Option Price File 2004 (Updated 2025-11-13)
opprcd2005,42279708,11934744576,Option Price File 2005 (Updated 2025-11-13)
opprcd2006,48192460,13587267584,Option Price File 2006 (Updated 2025-11-13)
opprcd2007,58432756,16478527488,Option Price File 2007 (Updated 2025-11-13)
opprcd2008,74856976,21101756416,Option Price File 2008 (Updated 2025-11-13)
opprcd2009,80278328,22568722432,Option Price File 2009 (Updated 2025-11-13)
opprcd2010,81580840,23001579520,Option Price File 2010 (Updated 2025-11-13)
opprcd2011,106929504,29982007296,Option Price File 2011 (Updated 2025-11-13)
opprcd2012,123603968,34506170368,Option Price File 2012 (Updated 2025-11-13)
opprcd2013,140414768,39198162944,Option Price File 2013 (Updated 2025-11-13)
opprcd2014,182688144,50879250432,Option Price File 2014 (Updated 2025-11-13)
opprcd2015,210562256,58503020544,Option Price File 2015 (Updated 2025-11-13)
opprcd2016,215270192,59741847552,Option Price File 2016 (Updated 2025-11-13)
opprcd2017,211592048,58947854336,Option Price File 2017 (Updated 2025-11-13)
opprcd2018,225834624,63214559232,Option Price File 2018 (Updated 2025-11-13)
opprcd2019,233948704,65608491008,Option Price File 2019 (Updated 2025-11-14)
opprcd2020,291329664,81503821824,Option Price File 2020 (Updated 2025-11-14)
opprcd2021,347120832,97367490560,Option Price File 2021 (Updated 2025-11-14)
opprcd2022,364631904,101986525184,Option Price File 2022 (Updated 2025-11-14)
opprcd2023,354124896,98773475328,
opprcd2024,381018464,106998571008,Option Price File 2024 (Updated 2025-11-14)
opprcd2025,264945680,74709680128,Option Price File 2025 (Updated 2025-11-14)
optionmnames,69513312,10188431360,Option Names Lookup (Helper Dataset) (Updated 2025-11-14)
opvold,81080688,7274201088,
secnmd,271874,44400640,Security_Name File (Updated 2025-11-14)
secprd,65838324,10243465216,Security Price File (Updated 2025-11-14)
secprd1996,2176809,387735552,Security Price File 1996 (Updated 2025-11-14)
secprd1997,2242436,399441920,Security Price File 1997 (Updated 2025-11-14)
secprd1998,2207258,393142272,Security Price File 1998 (Updated 2025-11-14)
secprd1999,2112466,376299520,Security Price File 1999 (Updated 2025-11-14)
secprd2000,2099419,373940224,Security Price File 2000 (Updated 2025-11-14)
secprd2001,2135236,380313600,Security Price File 2001 (Updated 2025-11-14)
secprd2002,2193805,390750208,Security Price File 2002 (Updated 2025-11-14)
secprd2003,2239479,398901248,Security Price File 2003 (Updated 2025-11-14)
